Source,Destination
116374117927631468606,101765416973555767821
112188647432305746617,107727150903234299458
116719211656774388392,100432456209427807893
117421021456205115327,101096322838605097368
116407635616074189669,113556266482860931616
105706178492556563330,111169963967137030210
107527001343993112621,110877363259509543172
105513412023818293063,115710735637044108808
108736646334864181044,112393248315358692010
108683283643126638695,107111579950257773726
103743296950120157401,103583604759580854844
113838352498860544569,118299777136505117634
106027609527831583580,118299777136505117634
108322543021146059132,100814778216375933054
106558284273162270526,115478779964227301239
108396103565552463387,104987932455782713675
106862156479660675047,113222062708936891262
115221898088173734174,107026299993226528916
101692096009250888838,109043804130056015419
108443027359212340995,109412257237874861202
101650411383078099702,112579116320573535497
115459243651688775505,100300281975626912157
116766352265080910418,116098871290246433189
116200892915573902040,113715935026755255296
102815391713140794570,111698080133801028608
111159671558660040486,117296255407633884056
108208513736292177751,112737087024763980113
113261832667487932178,105513412023818293063
106501936839371135482,115565811010545226083
107625557514813177939,109667384864782087641
105015334290243649083,105268634963924623607
106467891941793155295,118292708268361843293
113859540036726448291,113801236315350503728
116334142134816078699,114765095157367281222
101692096009250888838,109813811254829685344
103341723446617438320,109980414289125676367
102665200552377966664,106198127150293840110
102522934609785480475,103486150650858067282
113581596275616200424,113127486243987630038
109849052345512343653,107058695811249115309
109398421611492546729,107426011058867778586
105902716863305090394,113475277239647026452
101261243957067319422,111890945016831896743
113003110209055466285,118053787345192709725
107727150903234299458,109870053628419941069
102038831382717835405,107318169263608653171
112960790583164686894,116013911318003177996
114516047414042281846,114618043230336563405
115772174763814642163,102737705736968820678
117109117655029143874,112218872649456413744
116339430670263519533,103030116155431184588
109318802055851257299,101373193613128995135
111965319170155055546,109789939743085010576
102255986016613110352,114618043230336563405
107732802446301744236,115514397255079403751
104424338679069151673,112375731670409469973
108056398297424061653,107151624355255036787
117791391761541223690,104737437767089317857
101650411383078099702,100313541166146935114
103721531088765428547,114506169898055621778
113764089012565237302,106812353891907639293
103149424132366342295,114345903275605514915
110379434263550065795,100070927167992422053
107395795129791787754,117259934788907243749
100124389520659251191,103809839833065657064
102522934609785480475,111923578555541250439
115243459806091371553,114742546997782116347
117297867503542100495,113593979594890738368
106914186897370535526,115843902743138499802
107991035368810507771,107534991451098430533
102255986016613110352,107332232527606860180
102648148748642147788,105902716863305090394
118301801570268856235,106189723444098348646
110636639253275529090,114466969251209334825
117421021456205115327,113754283359377615013
105902716863305090394,110615203095633370838
117698165607464864806,101465854435804471513
114742546997782116347,103833388179391400138
103721531088765428547,107332232527606860180
101052845941647002594,109504153335660824173
118189579474565903298,113863532089714339729
100377940347053808663,102271937385988687810
117680872003014443769,106862156479660675047
112527318327313368964,100221555167886931877
100856215453651990855,114345903275605514915
103341723446617438320,101052845941647002594
118340792148219128230,117220917963904171499
101650411383078099702,114979831891112909762
105068531496447333786,113751353481962008916
107527001343993112621,113154773924849387260
112276589013569458330,106979372492552141708
109266052612007295479,103133177397090504113
117388252776312694644,113702637309752822154
109596373340495798827,104885672108365535825
104679138423679974698,112594943080800558027
115516333681138986628,113097276181543898574
104602860284118862026,118170059441102440825
114629508960670409934,102034052532213921839
112527318327313368964,101265890424846702444
105071119031637859845,117344752225183656923
111159671558660040486,103112149634414554669
101448421982595335481,107358865307002159479
116719211656774388392,106223273394899986618
108346637271615594833,111353258033215403477
101157854606139706613,117680872003014443769
112696040957795558674,112472063587247013272
113910357978240753730,109220060006128553211
101222579319909953067,100872931924256445066
104577357381178665210,109342148209917802565
114765095157367281222,112564135762572403710
103399926392582289066,112614367259340988369
106507463771539639056,115360979797396777969
102725109790365996602,114629508960670409934
100487948960127602987,116098871290246433189
113581596275616200424,101836208498876328891
107211094246725549672,115450369001355623660
110379434263550065795,108144430629893821152
115243459806091371553,103997409386976193988
107156755577155979497,103920960738189723326
111091089527727420853,102604554618567108175
107375322906605680039,103839604733587411268
102547044539623029950,117297867503542100495
114985346359714431656,107543460658107759808
107527001343993112621,114618043230336563405
109596373340495798827,114746422988923214718
109317282441167678380,104550678234629742078
118292708268361843293,108189587050871927619
107534991451098430533,113686253941057080055
100333543044473222310,115958937168985975805
111162301399626566385,103029870795404358045
103911183408644149411,108159551615224338529
113340344488226387361,109813896768294978296
103461291458554701630,105228342880444036996
115490868856377625184,112661262066626464523
107156755577155979497,107330528562005281406
103697821787469756035,114082129627545059603
107959790171356428064,100313541166146935114
116513405135290689474,103797409565331693058
102255986016613110352,102744972162477610699
109923941665874520762,104885672108365535825
101052845941647002594,100974258168375166691
106612198252274444886,114345903275605514915
101682840338947184385,118418436905562612953
116207116265059961468,112599748506977857728
118224579703977604263,113872202125493185615
107545326706908151271,107117483540235115863
107797841320768724118,108152786201218528136
112330426094287690538,113544226688149802325
116719211656774388392,107161758471284783023
100763770877733610336,104577357381178665210
118340792148219128230,112875351967017263037
110776101657735290617,113710395888978478005
103103834116993607848,112072934052683456906
116766352265080910418,113702637309752822154
103984595971776502972,102034052532213921839
112799586715644830245,104424338679069151673
113612142759476883204,103716847685048716973
108802007785063759788,117068310245969878270
105126600602218044918,115623252983295760522
105198837466762147542,116464344073545994074
112696040957795558674,112528361054207070701
109699802280969182272,113643425309682495997
118299777136505117634,104987932455782713675
103103834116993607848,100327603635717936220
107760322959931160638,103712172077289099783
111035851894814840076,104428814384443083380
109699802280969182272,103616688306533110915
108037135973386438800,102604554618567108175
102815391713140794570,110580546447401631126
107111579950257773726,116229548584533052328
102829356913057400397,112799900876016618370
114688759411241407928,113625462103500841369
103368812767070779872,108189587050871927619
109145684557742553091,101333593083741950617
105146290850515029724,107323662131088936833
110636639253275529090,108855865811376080819
104679138423679974698,107583881769758392932
110379434263550065795,101738342045651955119
102665200552377966664,103149424132366342295
117220917963904171499,103721531088765428547
105146290850515029724,100493440776527702800
107926385284408156819,106324123467069891099
114744510189908480227,117895053585997781991
100333543044473222310,112671613807103204042
106612198252274444886,111910200485959385328
106944536119733342041,114765095157367281222
112883523226102191623,100043057758270223301
101682840338947184385,103795921262630398720
114870652491954460386,107375322906605680039
114334979365075139609,108189587050871927619
113316148669723868015,101465854435804471513
101962829696981365403,115111902757485641613
114987957963756854287,106784868338928174619
114121522802422541341,118207880179234484610
103616688306533110915,105009504092403807731
115243459806091371553,109667384864782087641
107318169263608653171,102090995491094543233
111510457148784436503,101739469994127372590
114700236104341164111,112393248315358692010
102815391713140794570,100673001273604863893
107892094740226004193,115080511474130363904
102522934609785480475,113625462103500841369
116229548584533052328,115970504272079730559
104679138423679974698,103145081878594422544
110877363259509543172,106563076987268237912
108322543021146059132,115221898088173734174
114345903275605514915,112662293249952729394
115702306533209355625,111991876596496628445
109596373340495798827,100940716892313727285
113929616350498302317,104397059726359189186
106027609527831583580,116799045993451756042
110701307803962595019,107323726887023845557
107991035368810507771,101872015774361781592
117421021456205115327,102150693225130002912
102904072906435195211,101739469994127372590
101052845941647002594,100042589426158562339
112433233162542061134,100834378485895409468
115739378269261680935,117757565120070816446
114664307180734299077,100518419853963396365
116737306836663798171,103618199843630115520
110258899475477198037,118320665823821681206
117840649766034848455,100585555255542998765
107760322959931160638,117556389603643931415
101692096009250888838,102767420110355783754
